Designation,Company,experience,average salary,minimum salary,maximum salary,ratings,reviews
Assistant System Engineer ,iEnergizer,0-4yrs  ,"3,08,346",1.0,8.0,3.4,754
Associate Consultant ,iEnergizer,4-21yrs  ,"3,57,470",15.0,35.6,3.4,754
Senior Process Associate ,iEnergizer,0-11yrs  ,"4,12,326",1.8,7.2,3.4,754
Software Engineer ,iEnergizer,0-8yrs  ,"4,05,532",2.0,7.0,3.4,754
Process Associate ,iEnergizer,0-9yrs  ,"4,48,561",1.6,7.6,3.4,754
Software Developer ,iEnergizer,0-9yrs  ,"2,66,742",1.7,4.1,3.4,754
System Engineer Hardware ,iEnergizer,0-6yrs  ,"3,35,298",1.8,6.0,3.4,754
System Engineer ,Startek,0-10yrs  ,"2,22,357",15.0,18.0,4.1,723
IT Analyst ,Startek,3-11yrs  ,"2,56,294",20.0,6.5,4.1,723
AST Consultant ,Startek,6-15yrs  ,"2,47,858",27.0,19.1,4.1,723
Assistant System Engineer ,Startek,0-4yrs  ,"3,93,719",15.0,6.8,4.1,723
Associate Consultant ,Startek,4-21yrs  ,"2,55,063",20.0,12.0,4.1,723
Senior Process Associate ,Startek,0-11yrs  ,"4,12,373",40.0,8.1,4.1,723
Software Engineer ,Startek,0-8yrs  ,"2,94,140",1.1,4.6,4.1,723
Process Associate ,Startek,0-9yrs  ,"3,42,907",1.1,5.2,4.1,723
Software Developer ,Startek,0-9yrs  ,"2,67,717",1.0,5.4,4.1,723
System Engineer Hardware ,Startek,0-6yrs  ,"2,32,308",10.0,4.0,4.1,723
System Engineer ,Ericsson,0-10yrs  ,"11,53,538",4.5,17.5,4.1,723
IT Analyst ,Ericsson,3-11yrs  ,"14,97,003",5.3,22.0,4.1,723
AST Consultant ,Ericsson,6-15yrs  ,"6,03,939",1.6,12.0,4.1,723
Assistant System Engineer ,Ericsson,0-4yrs  ,"24,25,466",8.0,38.2,4.1,723
Associate Consultant ,Ericsson,4-21yrs  ,"8,33,185",2.0,16.0,4.1,723
Senior Process Associate ,Ericsson,0-11yrs  ,"4,32,178",2.4,6.2,4.1,723
Software Engineer ,Ericsson,0-8yrs  ,"6,41,762",2.8,13.2,4.1,723
Process Associate ,Ericsson,0-9yrs  ,"8,39,093",2.4,16.1,4.1,723
Software Developer ,Ericsson,0-9yrs  ,"15,28,780",5.5,29.0,4.1,723
System Engineer Hardware ,Ericsson,0-6yrs  ,"5,01,889",1.9,6.6,4.1,723
System Engineer ,ITC,0-10yrs  ,"8,95,678",3.4,14.5,3.5,472
IT Analyst ,ITC,3-11yrs  ,"4,83,601",2.0,8.5,3.5,472
AST Consultant ,ITC,6-15yrs  ,"8,58,543",3.5,13.4,3.5,472
Assistant System Engineer ,ITC,0-4yrs  ,"7,79,941",2.0,14.5,3.5,472
Associate Consultant ,ITC,4-21yrs  ,"6,83,440",3.2,11.0,3.5,472
Senior Process Associate ,ITC,0-11yrs  ,"2,85,530",1.0,9.1,3.5,472
Software Engineer ,ITC,0-8yrs  ,"14,39,530",8.0,20.0,3.5,472
Process Associate ,ITC,0-9yrs  ,"2,23,080",1.0,5.0,3.5,472
Software Developer ,ITC,0-9yrs  ,"15,19,790",4.7,20.0,3.5,472
System Engineer Hardware ,ITC,0-6yrs  ,"1,80,913",10.0,3.8,3.5,472
System Engineer ,Indian-Army,0-10yrs  ,"5,71,520",15.0,94.0,3.9,464
IT Analyst ,Indian-Army,3-11yrs  ,"31,91,084",1.0,94.0,3.9,464
AST Consultant ,Indian-Army,6-15yrs  ,"5,76,190",20.0,45.0,3.9,464
Assistant System Engineer ,Indian-Army,0-4yrs  ,"7,15,852",10.0,15.0,3.9,464
Associate Consultant ,Indian-Army,4-21yrs  ,"21,95,807",2.0,1.0,3.9,464
Senior Process Associate ,Indian-Army,0-11yrs  ,"6,14,668",30.0,11.0,3.9,464
Software Engineer ,Indian-Army,0-8yrs  ,"5,26,036",25.0,51.0,3.9,464
Process Associate ,Indian-Army,0-9yrs  ,"22,71,792",1.0,40.0,3.9,464
Software Developer ,Indian-Army,0-9yrs  ,"6,83,627",15.0,26.0,3.9,464
System Engineer Hardware ,Indian-Army,0-6yrs  ,"6,36,097",35.0,18.0,3.9,464
System Engineer ,AU-Small-Finance-Bank,0-10yrs  ,"5,37,687",2.6,8.2,3.9,460
IT Analyst ,AU-Small-Finance-Bank,3-11yrs  ,"2,41,639",1.1,4.6,3.9,460
AST Consultant ,AU-Small-Finance-Bank,6-15yrs  ,"3,62,189",10.0,6.6,3.9,460
Assistant System Engineer ,AU-Small-Finance-Bank,0-4yrs  ,"3,30,791",1.5,5.3,3.9,460
Associate Consultant ,AU-Small-Finance-Bank,4-21yrs  ,"5,42,165",1.8,10.0,3.9,460
Senior Process Associate ,AU-Small-Finance-Bank,0-11yrs  ,"5,55,460",15.0,11.3,3.9,460
Software Engineer ,AU-Small-Finance-Bank,0-8yrs  ,"10,37,846",2.9,25.5,3.9,460
Process Associate ,AU-Small-Finance-Bank,0-9yrs  ,"4,86,459",2.3,8.6,3.9,460
Software Developer ,AU-Small-Finance-Bank,0-9yrs  ,"3,01,456",1.5,4.5,3.9,460
System Engineer Hardware ,AU-Small-Finance-Bank,0-6yrs  ,"2,50,821",95.0,4.2,3.9,460
System Engineer ,Mindtree,0-10yrs  ,"8,71,669",3.0,20.5,3.9,455
IT Analyst ,Mindtree,3-11yrs  ,"14,25,287",4.5,26.0,3.9,455
AST Consultant ,Mindtree,6-15yrs  ,"5,52,371",2.5,10.1,3.9,455
Assistant System Engineer ,Mindtree,0-4yrs  ,"19,18,924",6.8,33.0,3.9,455
Associate Consultant ,Mindtree,4-21yrs  ,"7,57,002",3.1,13.4,3.9,455
Senior Process Associate ,Mindtree,0-11yrs  ,"7,86,786",3.0,13.5,3.9,455
Software Engineer ,Mindtree,0-8yrs  ,"11,68,162",5.0,17.5,3.9,455
Process Associate ,Mindtree,0-9yrs  ,"11,95,034",5.0,26.0,3.9,455
Software Developer ,Mindtree,0-9yrs  ,"4,80,022",2.1,8.5,3.9,455
System Engineer Hardware ,Mindtree,0-6yrs  ,"5,23,040",1.9,10.5,3.9,455
System Engineer ,JP-Morgan-Chase,0-10yrs  ,"9,75,800",3.6,17.0,3.8,448
IT Analyst ,JP-Morgan-Chase,3-11yrs  ,"11,87,273",2.5,32.0,3.8,448
AST Consultant ,JP-Morgan-Chase,6-15yrs  ,"6,26,112",2.4,10.5,3.8,448
Assistant System Engineer ,JP-Morgan-Chase,0-4yrs  ,"28,07,648",11.7,42.5,3.8,448
Associate Consultant ,JP-Morgan-Chase,4-21yrs  ,"19,96,247",3.5,34.0,3.8,448
Senior Process Associate ,JP-Morgan-Chase,0-11yrs  ,"28,22,485",4.0,46.0,3.8,448
Software Engineer ,JP-Morgan-Chase,0-8yrs  ,"27,41,789",11.6,42.0,3.8,448
Process Associate ,JP-Morgan-Chase,0-9yrs  ,"10,15,151",1.0,26.0,3.8,448
Software Developer ,JP-Morgan-Chase,0-9yrs  ,"6,17,632",2.3,10.1,3.8,448
System Engineer Hardware ,JP-Morgan-Chase,0-6yrs  ,"11,46,201",1.8,20.2,3.8,448
System Engineer ,Hindustan-Unilever,0-10yrs  ,"9,02,730",5.0,12.0,3.8,448
IT Analyst ,Hindustan-Unilever,3-11yrs  ,"4,12,696",40.0,15.8,3.8,448
AST Consultant ,Hindustan-Unilever,6-15yrs  ,"2,65,075",70.0,10.1,3.8,448
Assistant System Engineer ,Hindustan-Unilever,0-4yrs  ,"4,72,085",1.0,12.0,3.8,448
Associate Consultant ,Hindustan-Unilever,4-21yrs  ,"11,69,631",7.5,15.3,3.8,448
Senior Process Associate ,Hindustan-Unilever,0-11yrs  ,"3,25,600",1.1,5.5,3.8,448
Software Engineer ,Hindustan-Unilever,0-8yrs  ,"14,40,968",10.0,37.3,3.8,448
Process Associate ,Hindustan-Unilever,0-9yrs  ,"2,22,645",1.2,4.0,3.8,448
Software Developer ,Hindustan-Unilever,0-9yrs  ,"9,66,551",6.4,12.0,3.8,448
System Engineer Hardware ,Hindustan-Unilever,0-6yrs  ,"11,43,379",2.3,16.5,3.8,448
System Engineer ,eClerx,0-10yrs  ,"4,88,678",2.0,9.2,4.1,340
IT Analyst ,eClerx,3-11yrs  ,"3,01,122",1.0,9.0,4.1,340
AST Consultant ,eClerx,6-15yrs  ,"2,91,747",1.1,6.5,4.1,340
Assistant System Engineer ,eClerx,0-4yrs  ,"7,99,411",3.4,15.0,4.1,340
Associate Consultant ,eClerx,4-21yrs  ,"11,84,150",6.0,24.0,4.1,340
Senior Process Associate ,eClerx,0-11yrs  ,"4,28,837",2.0,6.4,4.1,340
Software Engineer ,eClerx,0-8yrs  ,"4,10,604",2.5,6.5,4.1,340
Process Associate ,eClerx,0-9yrs  ,"2,76,320",1.7,5.1,4.1,340
Software Developer ,eClerx,0-9yrs  ,"18,93,257",9.0,36.4,4.1,340
System Engineer Hardware ,eClerx,0-6yrs  ,"2,23,688",1.4,3.1,4.1,340
System Engineer ,Oracle,0-10yrs  ,"20,31,320",5.6,40.0,3.9,336
IT Analyst ,Oracle,3-11yrs  ,"25,33,606",7.0,47.0,3.9,336
AST Consultant ,Oracle,6-15yrs  ,"16,63,714",6.0,26.5,3.9,336
Assistant System Engineer ,Oracle,0-4yrs  ,"19,91,703",7.0,30.0,3.9,336
Associate Consultant ,Oracle,4-21yrs  ,"23,90,219",9.0,35.0,3.9,336
Senior Process Associate ,Oracle,0-11yrs  ,"15,17,215",5.1,24.0,3.9,336
Software Engineer ,Oracle,0-8yrs  ,"13,61,321",15.0,30.0,3.9,336
Process Associate ,Oracle,0-9yrs  ,"9,34,330",2.0,19.1,3.9,336
Software Developer ,Oracle,0-9yrs  ,"20,47,739",7.3,30.0,3.9,336
System Engineer Hardware ,Oracle,0-6yrs  ,"12,31,506",2.2,22.0,3.9,336
System Engineer ,Zydus-Cadila,0-10yrs  ,"3,39,000",1.2,6.2,3.7,333
IT Analyst ,Zydus-Cadila,3-11yrs  ,"12,69,198",6.7,17.3,3.7,333
AST Consultant ,Zydus-Cadila,6-15yrs  ,"2,79,628",1.0,6.0,3.7,333
Assistant System Engineer ,Zydus-Cadila,0-4yrs  ,"4,58,658",1.7,7.8,3.7,333
Associate Consultant ,Zydus-Cadila,4-21yrs  ,"6,03,228",3.0,9.5,3.7,333
Senior Process Associate ,Zydus-Cadila,0-11yrs  ,"5,09,718",2.6,7.4,3.7,333
Software Engineer ,Zydus-Cadila,0-8yrs  ,"3,33,279",2.0,5.9,3.7,333
Process Associate ,Zydus-Cadila,0-9yrs  ,"3,21,556",1.8,5.0,3.7,333
Software Developer ,Zydus-Cadila,0-9yrs  ,"3,46,834",1.6,6.5,3.7,333
System Engineer Hardware ,Zydus-Cadila,0-6yrs  ,"8,18,095",3.8,14.0,3.7,333
System Engineer ,Apollo-Hospitals,0-10yrs  ,"3,33,868",15.0,32.0,4.0,326
IT Analyst ,Apollo-Hospitals,3-11yrs  ,"2,41,260",10.0,13.2,4.0,326
AST Consultant ,Apollo-Hospitals,6-15yrs  ,"2,65,555",15.0,15.0,4.0,326
Assistant System Engineer ,Apollo-Hospitals,0-4yrs  ,"2,64,160",15.0,4.0,4.0,326
Associate Consultant ,Apollo-Hospitals,4-21yrs  ,"2,89,416",10.0,8.0,4.0,326
Senior Process Associate ,Apollo-Hospitals,0-11yrs  ,"3,05,015",25.0,20.0,4.0,326
Software Engineer ,Apollo-Hospitals,0-8yrs  ,"2,61,885",20.0,30.3,4.0,326
Process Associate ,Apollo-Hospitals,0-9yrs  ,"1,94,535",80.0,12.0,4.0,326
Software Developer ,Apollo-Hospitals,0-9yrs  ,"2,44,075",10.0,5.0,4.0,326
System Engineer Hardware ,Apollo-Hospitals,0-6yrs  ,"7,68,998",1.3,12.0,4.0,326
System Engineer ,Capgemini-Technology-Services-India-Limited,0-10yrs  ,"6,36,669",3.0,12.1,4.8,321
IT Analyst ,Capgemini-Technology-Services-India-Limited,3-11yrs  ,"14,27,135",4.0,26.5,4.8,321
AST Consultant ,Capgemini-Technology-Services-India-Limited,6-15yrs  ,"6,23,408",1.9,13.2,4.8,321
Assistant System Engineer ,Capgemini-Technology-Services-India-Limited,0-4yrs  ,"4,48,931",1.0,7.5,4.8,321
Associate Consultant ,Capgemini-Technology-Services-India-Limited,4-21yrs  ,"2,93,304",1.2,5.0,4.8,321
Senior Process Associate ,Capgemini-Technology-Services-India-Limited,0-11yrs  ,"4,99,248",2.1,9.9,4.8,321
Software Engineer ,Capgemini-Technology-Services-India-Limited,0-8yrs  ,"4,05,687",1.7,7.7,4.8,321
Process Associate ,Capgemini-Technology-Services-India-Limited,0-9yrs  ,"5,97,528",2.6,10.1,4.8,321
Software Developer ,Capgemini-Technology-Services-India-Limited,0-9yrs  ,"6,36,548",2.3,13.0,4.8,321
System Engineer Hardware ,Capgemini-Technology-Services-India-Limited,0-6yrs  ,"3,99,616",2.0,5.0,4.8,321
System Engineer ,Amdocs,0-10yrs  ,"10,45,630",3.2,21.0,4.0,245
IT Analyst ,Amdocs,3-11yrs  ,"8,96,387",3.0,18.5,4.0,245
AST Consultant ,Amdocs,6-15yrs  ,"6,53,626",2.0,15.1,4.0,245
Assistant System Engineer ,Amdocs,0-4yrs  ,"7,35,436",3.6,13.7,4.0,245
Associate Consultant ,Amdocs,4-21yrs  ,"5,82,397",2.5,9.0,4.0,245
Senior Process Associate ,Amdocs,0-11yrs  ,"7,48,124",2.0,16.0,4.0,245
Software Engineer ,Amdocs,0-8yrs  ,"21,43,527",9.3,30.0,4.0,245
Process Associate ,Amdocs,0-9yrs  ,"10,66,822",3.4,20.0,4.0,245
Software Developer ,Amdocs,0-9yrs  ,"7,69,814",3.2,14.0,4.0,245
System Engineer Hardware ,Amdocs,0-6yrs  ,"8,94,777",2.5,18.7,4.0,245
System Engineer ,Fullerton-India,0-10yrs  ,"4,67,746",1.4,10.0,4.0,243
IT Analyst ,Fullerton-India,3-11yrs  ,"4,61,550",1.9,11.1,4.0,243
AST Consultant ,Fullerton-India,6-15yrs  ,"5,72,554",1.7,12.4,4.0,243
Assistant System Engineer ,Fullerton-India,0-4yrs  ,"5,91,316",2.4,9.1,4.0,243
Associate Consultant ,Fullerton-India,4-21yrs  ,"3,80,070",2.0,6.6,4.0,243
Senior Process Associate ,Fullerton-India,0-11yrs  ,"8,69,703",2.2,15.1,4.0,243
Software Engineer ,Fullerton-India,0-8yrs  ,"3,07,559",1.9,4.5,4.0,243
Process Associate ,Fullerton-India,0-9yrs  ,"2,35,679",1.1,3.4,4.0,243
Software Developer ,Fullerton-India,0-9yrs  ,"2,38,079",1.3,3.4,4.0,243
System Engineer Hardware ,Fullerton-India,0-6yrs  ,"4,34,643",2.0,8.4,4.0,243
System Engineer ,Schneider-Electric,0-10yrs  ,"8,12,910",3.2,14.0,4.5,242
IT Analyst ,Schneider-Electric,3-11yrs  ,"5,97,893",3.4,12.0,4.5,242
AST Consultant ,Schneider-Electric,6-15yrs  ,"2,41,624",1.0,5.1,4.5,242
Assistant System Engineer ,Schneider-Electric,0-4yrs  ,"27,79,923",15.0,40.0,4.5,242
Associate Consultant ,Schneider-Electric,4-21yrs  ,"5,15,590",30.0,11.0,4.5,242
Senior Process Associate ,Schneider-Electric,0-11yrs  ,"4,77,414",3.0,7.7,4.5,242
Software Engineer ,Schneider-Electric,0-8yrs  ,"13,14,329",4.5,26.5,4.5,242
Process Associate ,Schneider-Electric,0-9yrs  ,"9,41,184",5.1,20.0,4.5,242
Software Developer ,Schneider-Electric,0-9yrs  ,"3,29,164",25.0,15.0,4.5,242
System Engineer Hardware ,Schneider-Electric,0-6yrs  ,"2,75,467",1.0,8.1,4.5,242
System Engineer ,CBRE,0-10yrs  ,"3,85,278",2.1,5.5,4.4,235
IT Analyst ,CBRE,3-11yrs  ,"6,28,814",3.0,10.2,4.4,235
AST Consultant ,CBRE,6-15yrs  ,"8,51,979",3.7,13.5,4.4,235
Assistant System Engineer ,CBRE,0-4yrs  ,"5,44,668",3.3,8.0,4.4,235
Associate Consultant ,CBRE,4-21yrs  ,"7,86,337",4.0,12.1,4.4,235
Senior Process Associate ,CBRE,0-11yrs  ,"4,43,882",2.0,7.0,4.4,235
Software Engineer ,CBRE,0-8yrs  ,"4,96,812",3.1,7.6,4.4,235
Process Associate ,CBRE,0-9yrs  ,"10,11,829",6.0,16.0,4.4,235
Software Developer ,CBRE,0-9yrs  ,"4,16,605",2.8,5.6,4.4,235
System Engineer Hardware ,CBRE,0-6yrs  ,"16,45,178",8.4,27.0,4.4,235
System Engineer ,GlobalLogic,0-10yrs  ,"2,49,568",1.0,8.0,4.1,233
IT Analyst ,GlobalLogic,3-11yrs  ,"11,82,502",4.0,30.0,4.1,233
AST Consultant ,GlobalLogic,6-15yrs  ,"2,51,327",1.1,4.4,4.1,233
Assistant System Engineer ,GlobalLogic,0-4yrs  ,"7,60,301",3.1,16.0,4.1,233
Associate Consultant ,GlobalLogic,4-21yrs  ,"18,65,359",6.2,34.0,4.1,233
Senior Process Associate ,GlobalLogic,0-11yrs  ,"3,20,218",1.7,6.8,4.1,233
Software Engineer ,GlobalLogic,0-8yrs  ,"2,80,477",1.5,6.0,4.1,233
Process Associate ,GlobalLogic,0-9yrs  ,"10,56,318",4.8,19.3,4.1,233
Software Developer ,GlobalLogic,0-9yrs  ,"4,78,918",3.0,8.3,4.1,233
System Engineer Hardware ,GlobalLogic,0-6yrs  ,"7,00,336",3.1,15.5,4.1,233
System Engineer ,Virtusa-Consulting-Services,0-10yrs  ,"15,54,944",4.1,29.0,3.9,231
IT Analyst ,Virtusa-Consulting-Services,3-11yrs  ,"8,66,227",2.6,18.5,3.9,231
AST Consultant ,Virtusa-Consulting-Services,6-15yrs  ,"19,94,267",7.0,32.0,3.9,231
Assistant System Engineer ,Virtusa-Consulting-Services,0-4yrs  ,"6,69,185",2.4,12.5,3.9,231
Associate Consultant ,Virtusa-Consulting-Services,4-21yrs  ,"4,86,431",2.3,6.6,3.9,231
Senior Process Associate ,Virtusa-Consulting-Services,0-11yrs  ,"5,13,666",2.0,8.2,3.9,231
Software Engineer ,Virtusa-Consulting-Services,0-8yrs  ,"13,55,696",5.1,26.0,3.9,231
Process Associate ,Virtusa-Consulting-Services,0-9yrs  ,"12,46,149",3.0,25.0,3.9,231
Software Developer ,Virtusa-Consulting-Services,0-9yrs  ,"7,83,614",2.7,19.0,3.9,231
System Engineer Hardware ,Virtusa-Consulting-Services,0-6yrs  ,"4,92,930",2.4,9.0,3.9,231
System Engineer ,JBM-Group,0-10yrs  ,"2,94,073",15.0,5.4,3.8,229
IT Analyst ,JBM-Group,3-11yrs  ,"3,10,905",1.2,4.8,3.8,229
AST Consultant ,JBM-Group,6-15yrs  ,"3,26,485",20.0,5.3,3.8,229
Assistant System Engineer ,JBM-Group,0-4yrs  ,"3,90,461",1.7,5.5,3.8,229
Associate Consultant ,JBM-Group,4-21yrs  ,"2,82,452",1.1,4.8,3.8,229
Senior Process Associate ,JBM-Group,0-11yrs  ,"2,12,393",1.0,10.1,3.8,229
Software Engineer ,JBM-Group,0-8yrs  ,"5,61,266",3.1,7.6,3.8,229
Process Associate ,JBM-Group,0-9yrs  ,"3,99,256",2.0,5.0,3.8,229
Software Developer ,JBM-Group,0-9yrs  ,"2,74,640",1.0,4.0,3.8,229
System Engineer Hardware ,JBM-Group,0-6yrs  ,"10,73,405",6.3,16.0,3.8,229
System Engineer ,Dell,0-10yrs  ,"18,99,622",4.8,31.5,4.2,228
IT Analyst ,Dell,3-11yrs  ,"9,86,528",2.8,23.0,4.2,228
AST Consultant ,Dell,6-15yrs  ,"29,04,258",13.5,43.7,4.2,228
Assistant System Engineer ,Dell,0-4yrs  ,"11,77,893",3.6,18.0,4.2,228
Associate Consultant ,Dell,4-21yrs  ,"14,16,013",7.0,20.0,4.2,228
Senior Process Associate ,Dell,0-11yrs  ,"6,71,915",2.3,15.0,4.2,228
Software Engineer ,Dell,0-8yrs  ,"6,99,417",3.0,12.0,4.2,228
Process Associate ,Dell,0-9yrs  ,"5,80,931",4.0,7.0,4.2,228
Software Developer ,Dell,0-9yrs  ,"8,09,044",2.4,16.0,4.2,228
System Engineer Hardware ,Dell,0-6yrs  ,"4,89,529",1.8,7.1,4.2,228
System Engineer ,Ecom-Express,0-10yrs  ,"2,14,112",8.5,4.1,4.6,227
IT Analyst ,Ecom-Express,3-11yrs  ,"3,05,468",1.0,5.1,4.6,227
AST Consultant ,Ecom-Express,6-15yrs  ,"2,16,389",1.0,3.5,4.6,227
Assistant System Engineer ,Ecom-Express,0-4yrs  ,"1,61,481",9.2,24.0,4.6,227
Associate Consultant ,Ecom-Express,4-21yrs  ,"3,38,272",2.0,4.1,4.6,227
Senior Process Associate ,Ecom-Express,0-11yrs  ,"4,31,475",1.8,6.0,4.6,227
Software Engineer ,Ecom-Express,0-8yrs  ,"2,40,845",1.0,4.3,4.6,227
Process Associate ,Ecom-Express,0-9yrs  ,"3,22,403",1.6,4.8,4.6,227
Software Developer ,Ecom-Express,0-9yrs  ,"1,89,228",15.0,10.2,4.6,227
System Engineer Hardware ,Ecom-Express,0-6yrs  ,"2,62,662",1.0,5.4,4.6,227
System Engineer ,State-Bank-of-India,0-10yrs  ,"14,71,512",60.0,25.0,3.6,225
IT Analyst ,State-Bank-of-India,3-11yrs  ,"16,51,055",55.0,35.0,3.6,225
AST Consultant ,State-Bank-of-India,6-15yrs  ,"26,68,334",1.0,60.0,3.6,225
Assistant System Engineer ,State-Bank-of-India,0-4yrs  ,"2,41,350",10.0,7.5,3.6,225
Associate Consultant ,State-Bank-of-India,4-21yrs  ,"10,82,934",2.5,29.5,3.6,225
Senior Process Associate ,State-Bank-of-India,0-11yrs  ,"2,00,532",11.0,18.0,3.6,225
Software Engineer ,State-Bank-of-India,0-8yrs  ,"29,28,332",1.0,48.0,3.6,225
Process Associate ,State-Bank-of-India,0-9yrs  ,"9,49,482",4.5,15.0,3.6,225
Software Developer ,State-Bank-of-India,0-9yrs  ,"10,37,609",6.0,23.0,3.6,225
System Engineer Hardware ,State-Bank-of-India,0-6yrs  ,"11,62,310",3.2,17.1,3.6,225
System Engineer ,Whitehat-jr,0-10yrs  ,"7,01,955",2.5,14.0,4.1,198
IT Analyst ,Whitehat-jr,3-11yrs  ,"5,05,509",2.0,8.5,4.1,198
AST Consultant ,Whitehat-jr,6-15yrs  ,"6,81,624",3.5,8.5,4.1,198
Assistant System Engineer ,Whitehat-jr,0-4yrs  ,"10,45,581",5.0,16.0,4.1,198
Associate Consultant ,Whitehat-jr,4-21yrs  ,"5,32,235",3.5,7.5,4.1,198
Senior Process Associate ,Whitehat-jr,0-11yrs  ,"4,75,291",2.3,8.0,4.1,198
Software Engineer ,Whitehat-jr,0-8yrs  ,"3,91,021",2.0,6.0,4.1,198
Process Associate ,Whitehat-jr,0-9yrs  ,"8,38,228",5.1,14.0,4.1,198
Software Developer ,Whitehat-jr,0-9yrs  ,"12,17,226",8.6,15.0,4.1,198
System Engineer Hardware ,Whitehat-jr,0-6yrs  ,"9,59,682",6.0,13.3,4.1,198
System Engineer ,Intas-Pharmaceuticals,0-10yrs  ,"3,50,840",1.5,5.5,3.8,196
IT Analyst ,Intas-Pharmaceuticals,3-11yrs  ,"4,91,943",2.1,7.5,3.8,196
AST Consultant ,Intas-Pharmaceuticals,6-15yrs  ,"4,17,540",2.0,6.5,3.8,196
Assistant System Engineer ,Intas-Pharmaceuticals,0-4yrs  ,"3,91,700",1.8,6.0,3.8,196
Associate Consultant ,Intas-Pharmaceuticals,4-21yrs  ,"7,36,176",3.3,13.0,3.8,196
Senior Process Associate ,Intas-Pharmaceuticals,0-11yrs  ,"3,40,685",1.8,5.0,3.8,196
Software Engineer ,Intas-Pharmaceuticals,0-8yrs  ,"3,53,188",1.0,6.0,3.8,196
Process Associate ,Intas-Pharmaceuticals,0-9yrs  ,"3,29,637",2.1,4.4,3.8,196
Software Developer ,Intas-Pharmaceuticals,0-9yrs  ,"3,53,925",2.0,5.4,3.8,196
System Engineer Hardware ,Intas-Pharmaceuticals,0-6yrs  ,"12,03,702",7.0,16.5,3.8,196
System Engineer ,Varun-Beverages,0-10yrs  ,"4,58,300",2.1,6.7,3.9,196
IT Analyst ,Varun-Beverages,3-11yrs  ,"6,16,528",2.4,9.4,3.9,196
AST Consultant ,Varun-Beverages,6-15yrs  ,"14,50,893",2.4,27.0,3.9,196
Assistant System Engineer ,Varun-Beverages,0-4yrs  ,"3,65,523",1.2,8.9,3.9,196
Associate Consultant ,Varun-Beverages,4-21yrs  ,"3,55,822",1.8,5.2,3.9,196
Senior Process Associate ,Varun-Beverages,0-11yrs  ,"4,38,858",2.6,6.6,3.9,196
Software Engineer ,Varun-Beverages,0-8yrs  ,"4,47,043",1.8,6.5,3.9,196
Process Associate ,Varun-Beverages,0-9yrs  ,"4,43,692",1.5,6.0,3.9,196
Software Developer ,Varun-Beverages,0-9yrs  ,"10,28,324",4.9,14.0,3.9,196
System Engineer Hardware ,Varun-Beverages,0-6yrs  ,"3,41,941",1.1,5.3,3.9,196
System Engineer ,Ford-Motor,0-10yrs  ,"7,39,094",2.3,11.0,4.3,193
IT Analyst ,Ford-Motor,3-11yrs  ,"26,13,831",14.9,32.4,4.3,193
AST Consultant ,Ford-Motor,6-15yrs  ,"9,51,562",4.2,18.5,4.3,193
Assistant System Engineer ,Ford-Motor,0-4yrs  ,"9,81,517",4.5,23.0,4.3,193
Associate Consultant ,Ford-Motor,4-21yrs  ,"8,78,301",5.5,11.5,4.3,193
Senior Process Associate ,Ford-Motor,0-11yrs  ,"9,04,982",6.0,11.0,4.3,193
Software Engineer ,Ford-Motor,0-8yrs  ,"8,39,760",30.0,18.0,4.3,193
Process Associate ,Ford-Motor,0-9yrs  ,"3,23,544",10.0,5.5,4.3,193
Software Developer ,Ford-Motor,0-9yrs  ,"9,64,794",3.6,16.0,4.3,193
System Engineer Hardware ,Ford-Motor,0-6yrs  ,"15,94,761",7.4,22.5,4.3,193
System Engineer ,Hetero-Drugs,0-10yrs  ,"3,00,410",1.2,5.0,3.9,192
IT Analyst ,Hetero-Drugs,3-11yrs  ,"2,61,078",1.0,3.9,3.9,192
AST Consultant ,Hetero-Drugs,6-15yrs  ,"3,00,189",1.1,4.5,3.9,192
Assistant System Engineer ,Hetero-Drugs,0-4yrs  ,"3,43,831",2.0,4.9,3.9,192
Associate Consultant ,Hetero-Drugs,4-21yrs  ,"2,95,530",1.4,3.9,3.9,192
Senior Process Associate ,Hetero-Drugs,0-11yrs  ,"2,61,459",1.3,3.8,3.9,192
Software Engineer ,Hetero-Drugs,0-8yrs  ,"10,19,041",5.0,14.1,3.9,192
Process Associate ,Hetero-Drugs,0-9yrs  ,"3,40,539",2.0,5.6,3.9,192
Software Developer ,Hetero-Drugs,0-9yrs  ,"3,97,884",2.0,6.2,3.9,192
System Engineer Hardware ,Hetero-Drugs,0-6yrs  ,"2,89,039",1.5,4.4,3.9,192
System Engineer ,UnitedHealth,0-10yrs  ,"3,11,537",1.6,5.1,3.8,190
IT Analyst ,UnitedHealth,3-11yrs  ,"18,17,738",4.2,29.3,3.8,190
AST Consultant ,UnitedHealth,6-15yrs  ,"11,59,947",3.1,25.0,3.8,190
Assistant System Engineer ,UnitedHealth,0-4yrs  ,"4,03,287",2.0,5.7,3.8,190
Associate Consultant ,UnitedHealth,4-21yrs  ,"8,80,867",3.0,18.2,3.8,190
Senior Process Associate ,UnitedHealth,0-11yrs  ,"12,35,947",2.3,29.0,3.8,190
Software Engineer ,UnitedHealth,0-8yrs  ,"5,42,431",2.1,10.2,3.8,190
Process Associate ,UnitedHealth,0-9yrs  ,"2,95,820",1.4,4.0,3.8,190
